报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,年报
利息收入,39943.533,17898.864,27897.191,13174.523,21819.437,9683.049,13582.488,8522.877
利息支出,-21410.609,-9512.088,-12448.982,-5802.851,-11015.124,-5241.041,-7954.065,-4701.435
净利息收入,18532.924,8386.776,15448.209,7371.672,10804.313,4442.008,5628.423,3821.442
其他经营收入,-185.342,-209.811,106.427,57.019,115.117,44.577,49.393,31.055
经营收入,18805.992,8532.377,16413.849,7850.637,11517.384,4679.668,5794.609,3922.097
经营支出,-3308.138,-1574.069,-2758.039,-1342.665,-2724.872,-1246.461,-2213.49,-1888.077
总准备,-3444.523,-1615.348,-2784.895,-1477.644,-2296.943,-1534.736,-793.469,-274.739
其他盈利/(亏损),0,0,0,,,,,
除税前盈利/(亏损),12053.331,5342.96,10870.915,5030.328,6495.569,1898.471,2787.65,1759.281
税项,-2963.273,-1312.916,-2671.469,-1232.088,-1587.513,-458.543,-664.473,-403.783
除税后盈利/(亏损),9090.058,4030.044,8199.446,3798.24,4908.056,1439.928,2123.177,1355.498
少数股东权益,113.068,39.247,69.856,4.699,9.295,5.742,7.462,4.807
股东应占盈利/(亏损),8976.99,3990.797,8129.59,3793.541,4898.761,1434.186,2115.715,1350.691
股息,1085.0585094399999,,1017.2423526,,780.518117,,,
除税及股息后盈利/(亏损),7891.9314905599995,3990.797,7112.347647400001,3793.541,4118.242883,1434.186,2115.715,1350.691
基本每股营利(仙),132.000000,59.000000,140.000000,66.000000,109.000000,33.000000,54.000000,35.000000
摊薄每股盈利(仙),132.000000,59.000000,140.000000,66.000000,109.000000,33.000000,54.000000,35.000000
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
