报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-0.213722,7.954677,0.640345,5.3636,14.9194,8.692092
投资活动之现金流入净额,-5.368554,-0.311817,0.429072,-5.374055,-18.208328,-8.979922
融资活动之现金流入净额,20.601394,-9.090179,-4.538393,0.449018,8.263838,0.28783
现金及现金等价物增加,15.019118,-1.447319,-3.468976,0.438563,4.97491,0
会计年初之现金及现金等价物,3.966154,5.413473,5.413473,4.97491,0,0
会计年终之现金及现金等价物,18.722842,3.966154,1.944497,5.413473,4.97491,0
外汇兑换率变动之影响,-0.26243,--,--,--,--,--
购置固定资产款项,-0.419377,-0.192331,1.087209,-1.064893,-12.875521,-8.305761
币种,加元,加元,加元,加元,加元,加元
