报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,155.519,-258.677,-37.526,-42.35
投资活动之现金流入净额,-18.133,355.48,-366.098,-3.724
融资活动之现金流入净额,75.735,19.227,448.382,120.404
现金及现金等价物增加,213.121,116.03,44.758,74.33
会计年初之现金及现金等价物,124.901,8.838,-39.631,-72.167
会计年终之现金及现金等价物,338.006,124.901,5.118,2.163
外汇兑换率变动之影响,-0.016,0.033,-0.009,--
购置固定资产款项,-12.232,-1.321,-7.312,-2.62
币种,人民币,人民币,人民币,人民币
