报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,201.058,1352.112,650.516,381.286,-370.384,-478.608
投资活动之现金流入净额,-312.131,20.987,-264.473,-1252.382,-698.871,-390.243
融资活动之现金流入净额,-169.494,32.78,-88.747,-1098.183,2902.683,789.662
现金及现金等价物增加,-280.567,1405.879,297.296,-1969.279,1833.428,-79.189
会计年初之现金及现金等价物,1588.163,182.006,182.006,2142.369,298.855,384.136
会计年终之现金及现金等价物,1279.417,1588.163,505.312,182.006,2142.369,298.855
外汇兑换率变动之影响,-28.179,0.278,26.01,8.916,10.086,-6.092
购置固定资产款项,-395.291,-1044.434,-355.506,-782.644,-683.766,-419.429
币种,人民币,人民币,人民币,人民币,人民币,人民币
