报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31
报表类型,中报,年报,中报,年报
经营业务所得之现金流入净额,3.753,18.954,16.614,29.928
投资活动之现金流入净额,-0.524,-17.206,-6.019,-16.45
融资活动之现金流入净额,-3.129,0.23,-7.099,-18.524
现金及现金等价物增加,0.1,1.978,3.496,-5.046
会计年初之现金及现金等价物,2.629,0.651,0.651,5.697
会计年终之现金及现金等价物,2.833,2.629,4.147,0.651
外汇兑换率变动之影响,0.104,--,--,--
购置固定资产款项,-0.524,-17.206,-6.019,-16.65
币种,港币,港币,港币,港币
