报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,10.91,16.326
投资活动之现金流入净额,4.746,4.728
融资活动之现金流入净额,-34.548,-11.782
现金及现金等价物增加,-18.892,9.272
会计年初之现金及现金等价物,51.286,42.014
会计年终之现金及现金等价物,32.394,51.286
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.238,-0.109
币种,港币,港币
