报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,3.501,4.546,2.571,5.392,9.489,9.669
投资活动之现金流入净额,-30.933,-0.059,-0.006,-0.008,1.039,0.036
融资活动之现金流入净额,-1.253,56.727,-4.664,-6.979,-12.555,-6.673
现金及现金等价物增加,-28.685,61.214,-2.099,-1.595,-2.027,3.032
会计年初之现金及现金等价物,67.982,6.768,6.768,8.363,10.39,7.358
会计年终之现金及现金等价物,39.297,67.982,4.708,6.768,8.363,10.39
外汇兑换率变动之影响,--,--,0.039,--,--,--
购置固定资产款项,-1.166,-0.062,-0.007,-0.01,-0.008,-0.018
币种,港币,港币,港币,港币,港币,港币
