报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,15600,7869,13190,5913,11963,6470,14474,6871
投资活动之现金流入净额,-17749,-10097,-10359,-4467,-5139,-4420,-14689,-8920
融资活动之现金流入净额,1391,1925,-5140,-3472,-7719,-2545,-581,1926
现金及现金等价物增加,-758,-303,-2309,-2026,-895,-495,-796,-123
会计年初之现金及现金等价物,6450,6450,8936,8936,10013,10013,10950,10950
会计年终之现金及现金等价物,5951,6245,6450,6861,8936,9523,10013,10729
外汇兑换率变动之影响,259,98,-177,-49,-182,5,-141,-98
购置固定资产款项,-8956,-4556,-9434,-3524,-7869,-3821,-10543,-4541
币种,港币,港币,港币,港币,港币,港币,港币,港币
