报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,0.769,12.769,12.045,9.278,1.345,10.198,9.075
投资活动之现金流入净额,1.984,-9.416,-1.588,-2.115,0.12,1.558,-0.508
融资活动之现金流入净额,-2.921,26.482,13.692,-8.771,-5.363,-9.324,-4.671
现金及现金等价物增加,-0.168,29.835,24.149,-1.608,-3.898,2.432,3.896
会计年初之现金及现金等价物,42.073,10.632,10.632,12.24,12.24,9.808,5.912
会计年终之现金及现金等价物,40.644,42.073,34.781,10.632,8.342,12.24,9.808
外汇兑换率变动之影响,-1.261,1.606,--,--,--,--,--
购置固定资产款项,-0.524,-3.196,-1.745,-0.24,-0.048,-0.193,-1.499
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
