报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,-61.693,106.454,34.514,52.953
投资活动之现金流入净额,-27.23,-1.064,-0.643,-0.174
融资活动之现金流入净额,90.49,-90.63,-58.763,-46.077
现金及现金等价物增加,1.567,14.76,-24.892,6.702
会计年初之现金及现金等价物,-8.995,-23.755,1.137,-5.565
会计年终之现金及现金等价物,-7.428,-8.995,-23.755,1.137
外汇兑换率变动之影响,--,--,--,--
购置固定资产款项,-57.371,-0.013,-0.769,-0.174
币种,澳门元,澳门元,澳门元,澳门元
