报告期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
报表类型,年报,三季报,中报,年报,三季报,中报,年报
营业额,67.934,57.401,35.848,65.224,46.939,34.027,85.669
除税前盈利/(亏损),-3.519,-7.02,-4.334,12.699,10.257,7.926,11.196
税项,-1.415,-1.113,-0.953,-2.363,-1.652,-1.35,-1.89
除税后盈利/(亏损),-4.934,-8.133,-5.287,10.336,8.605,6.576,9.306
少数股东权益,,,,-0.011,0.078,-0.058,-0.126
股东应占盈利/(亏损),-4.934,-8.133,-5.287,10.347,8.527,6.634,9.432
股息,,,,,,,
除税及股息后盈利/(亏损),-4.934,-8.133,-5.287,10.347,8.527,6.634,9.432
基本每股盈利(仙),-0.570000,-0.810000,-0.530000,,0.850000,0.660000,
摊薄每股盈利(仙),-0.570000,-0.810000,-0.530000,--,0.850000,0.660000,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-43.969,-39.743,-23.546,-39.492,-28.895,-21.291,-58.025
折旧,-0.541,-0.382,-0.227,-0.318,-0.238,-0.159,-0.288
销售及分销费用,-6.697,-5.384,-3.037,-6.053,-4.327,-2.392,-10.847
一般及行政费用,-21.958,-20.058,-13.978,-7.381,-3.887,-2.61,-5.765
利息费用/融资成本,-0.074,-0.067,-0.048,-0.028,-0.024,-0.016,-0.072
毛利,23.965,17.658,12.302,25.732,18.044,12.736,27.644
经营盈利,-3.445,-6.953,-4.286,12.727,10.281,7.942,11.268
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
