报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,1086.59071503,14338.438,6673.00577299,5955.436,1044.56124126,13198.118,6446.28200885,6474.031
除税前盈利/(亏损),1033.80543584,4077.657,3022.48828793,1637.366,755.06651173,3991.458,3087.4329226100003,1913.02
税项,-263.78923075,-950.658,-674.30031008,-350.692,-140.74539434,-914.768,-676.35789726,-381.455
除税后盈利/(亏损),770.0162050900001,3126.999,2348.1879778499997,1286.674,614.32111739,3076.69,2411.07502535,1531.565
少数股东权益,38.55875832,110.529,78.51316509,49.186,27.10970607,63.671,24.73709061,16.857
股东应占盈利/(亏损),731.4574467699999,3016.47,2269.6748127600003,1237.488,587.21141132,3013.019,2386.3379347399996,1514.708
股息,,922.1575278,,,,922.1575278,,
除税及股息后盈利/(亏损),731.4574467699999,2094.3124722000002,2269.6748127600003,1237.488,587.21141132,2090.8614722,2386.3379347399996,1514.708
基本每股盈利(仙),15.860000,65.420000,49.230000,26.840000,12.740000,73.890000,61.080000,38.770000
摊薄每股盈利(仙),15.860000,65.420000,49.230000,26.840000,12.740000,73.890000,61.080000,38.770000
每股股息(仙),--,20.000000,--,--,--,20.000000,--,--
销售成本,--,--,--,--,--,--,--,--
折旧,--,-128.525,--,-59.927,--,-122.959,--,-61.472
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-1337.22966227,--,-3591.54085552,--,-1169.69806618,--,-3306.43785099,--
利息费用/融资成本,--,-3883.383,--,-1763.399,--,-3271.665,--,-1889.295
毛利,1086.59071503,14338.438,6673.00577299,5955.436,1044.56124126,13198.118,6246.317883850001,6291.4
经营盈利,1026.56652281,3994.369,3019.28915898,1587.891,548.51589055,3932.059,2912.75892104,1892.761
应占联营公司盈利,3.5228174900000004,83.288,76.41870302,49.475,12.746051210000001,59.399,38.36834467,20.259
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
