报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,5.648,20.744095,4.847,19.016026,17.680377
除税前盈利/(亏损),-0.831,-0.526078,0.342,2.018953,1.338386
税项,-0.232,-0.295906,-0.088,-0.340748,-0.252477
除税后盈利/(亏损),-1.063,-0.821984,0.254,1.678205,1.085909
少数股东权益,,0.000087,,-0.002222,0.000123
股东应占盈利/(亏损),-1.063,-0.822071,0.254,1.680427,1.085786
股息,,,,,
除税及股息后盈利/(亏损),-1.063,-0.822071,0.254,1.680427,1.085786
基本每股盈利(仙),-0.280000,-0.270000,0.080000,,
摊薄每股盈利(仙),-0.280000,-0.270000,0.080000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-4.006,-16.317954,-3.864,-14.450234,-14.043286
折旧,--,-0.81329,--,-0.632205,-1.221945
销售及分销费用,-0.034,-0.211518,-0.049,-0.203492,-0.207243
一般及行政费用,-2.295,-4.974659,-0.517,-2.328779,-2.234426
利息费用/融资成本,-0.067,-0.199375,-0.048,-0.228274,-0.427949
毛利,1.642,4.426141,0.983,4.565792,3.637091
经营盈利,-0.798,-0.338577,0.384,2.222662,1.741568
应占联营公司盈利,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
