报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31
报表类型,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-6.073,-21.625,-9.689,-3.097,-3.905,4.439
投资活动之现金流入净额,-0.09,-3.393,-0.296,-0.221,-0.106,-0.247
融资活动之现金流入净额,1.607,45.237,-2.129,9.202,10.331,8.207
现金及现金等价物增加,-4.556,20.219,-12.114,5.884,6.32,12.399
会计年初之现金及现金等价物,39.062,18.843,18.843,12.959,12.959,0.56
会计年终之现金及现金等价物,34.506,39.062,6.729,18.843,19.279,12.959
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.091,-1.256,-0.296,-0.199,-0.084,-0.247
币种,港币,港币,港币,港币,港币,港币
