报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,4857.538,-4877.136,4119.647,611.572,5988.79,4186.722,4102.157
投资活动之现金流入净额,-8511.567,-4126.933,-1953.06,-426.924,-3919.222,-7979.088,-5788.721
融资活动之现金流入净额,3126.871,8886.69,-625.458,-2527.495,-1554.283,3090.312,4008.669
现金及现金等价物增加,-527.158,-117.379,1541.129,-2342.847,515.285,-702.054,2322.105
会计年初之现金及现金等价物,13972.252,13972.252,13214.946,13214.946,13735.944,15175.387,12693.625
会计年终之现金及现金等价物,14174.734,14301.241,13972.252,10494.585,13214.946,13735.944,15175.387
外汇兑换率变动之影响,729.64,446.368,-783.823,-377.514,-1036.283,-737.389,159.657
购置固定资产款项,-1557.184,-1158.407,-1613.294,-666.705,-1863.8,-2451.87,-2623.639
币种,港币,港币,港币,港币,港币,港币,港币
