报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2015-09-30
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,12.772752,-38.995156,-13.426236,149.07581,0
投资活动之现金流入净额,-3.614759,-12.89098,-11.895544,1.531319,2.312638
融资活动之现金流入净额,-24.683102,118.673762,-25.858725,-82.152948,0
现金及现金等价物增加,-15.525109,66.787626,-51.180505,68.454181,2.312638
会计年初之现金及现金等价物,136.56166,70.766819,70.766819,2.312638,0
会计年终之现金及现金等价物,119.882339,136.56166,19.586314,70.766819,2.312638
外汇兑换率变动之影响,-1.154212,-0.992785,--,--,--
购置固定资产款项,-2.347799,-7.045569,-0.670203,-3.254666,--
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
