报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,20360,8977.047,17221.052,7325.116,15264.401,7043.182,14822.772,6581.051
除税前盈利/(亏损),2954.586,1224.674,2424.792,1183.62,2064.671,1035.248,1846.793,761.222
税项,-688.779,-274.001,-511.088,-275.185,-446.221,-232.919,-306.435,-139.556
除税后盈利/(亏损),2265.807,950.673,1913.704,908.435,1618.45,802.329,1540.358,621.666
少数股东权益,-27.248,-20.369,-8.323,-3.945,-2.667,-3.616,-13.666,-5.869
股东应占盈利/(亏损),2293.055,971.042,1922.027,912.38,1621.117,805.945,1554.024,627.535
股息,,,411.288,,339.228,,318.861,
除税及股息后盈利/(亏损),2293.055,971.042,1510.739,912.38,1281.889,805.945,1235.163,627.535
基本每股盈利(仙),74.000000,31.000000,62.000000,29.000000,52.000000,26.000000,50.000000,20.000000
摊薄每股盈利(仙),74.000000,31.000000,62.000000,29.000000,52.000000,26.000000,50.000000,20.000000
每股股息(仙),18.000000,--,13.417500,--,10.891400,--,10.255700,--
销售成本,-15043.217,-6515.743,-12639.274,-5141.63,-11326.83,-5135.575,-11022.038,-4938.032
折旧,-603.56,-292.382,-553.375,-267.462,-467.004,-225.121,-408.915,-189.364
销售及分销费用,-1029.222,-459.483,-821.557,-376.971,-697.214,-333.965,-769.676,-340.343
一般及行政费用,-938.241,-442.264,-758.583,-355.76,-579.132,-283.718,-581.418,-287.136
利息费用/融资成本,-229.309,-98.957,-107.061,-41.511,-87.323,-41.458,-233.071,-133.927
毛利,5316.783,2461.304,4581.778,2183.486,3937.571,1907.607,3800.734,1643.019
经营盈利,2954.586,1224.674,2424.792,1183.62,2064.671,1035.248,1846.793,761.222
应占联营公司盈利,-1.404,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
