报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,年报,中报,年报,中报,一季报,年报,三季报,中报
营业额,5911.096,2309.919,6054.62,2951.222,1518.98464056,5756.594,4271.61211895,2740.557
除税前盈利/(亏损),111.306,30.304,-77.754,-121.305,-34.54854251,-354.917,-111.47603348999999,-148.679
税项,-60.668,-19.999,-14.618,11.171,-2.47234745,-147.637,-12.78482684,-17.444
除税后盈利/(亏损),50.638,10.305,-92.372,-110.134,-37.02088996,-502.554,-124.26086033,-166.123
少数股东权益,-29.196,-16.145,-14.916,-5.175,-3.44747908,-40.392,-10.65554563,-12.629
股东应占盈利/(亏损),79.834,26.45,-77.456,-104.959,-33.573410880000004,-462.162,-113.60531470000001,-153.494
股息,,,,,,,,
除税及股息后盈利/(亏损),79.834,26.45,-77.456,-104.959,-33.573410880000004,-462.162,-113.60531470000001,-153.494
基本每股盈利(仙),10.400000,3.400000,-10.000000,-14.000000,-4.000000,-60.000000,-15.000000,-20.000000
摊薄每股盈利(仙),10.400000,3.400000,-10.000000,-14.000000,-4.000000,-60.000000,-15.000000,-20.000000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-5125.119,-1970.951,-5394.025,-2616.468,-1386.65574053,-5308.062,-3953.56690691,-2572.403
折旧,-234.521,-118.897,-232.867,-99.046,--,-210.537,--,-113.058
销售及分销费用,-48.127,-30.609,-37.746,-15.649,-7.92061658,-29.46,-20.82856543,-14.484
一般及行政费用,-378.617,-183.004,-370.831,-197.209,-64.68858079,-430.387,-215.69524667,-176.329
利息费用/融资成本,-246.648,-106.907,-230.232,-121.075,-62.65751503,-245.358,-183.68659425,-125.889
毛利,785.977,338.968,660.595,334.754,129.25165887,448.532,311.43828634,168.154
经营盈利,357.954,137.211,152.478,-0.23,-31.835491809999997,-109.559,-110.26680873999999,-22.79
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
