报告期,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2011-12-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,1660.813,2485.634,918.588,2146.779,1196.206
投资活动之现金流入净额,-1891.307,-2135.038,-625.32,-2837.81,-1566.086
融资活动之现金流入净额,1515.885,380.508,205.212,519.968,-18.405
现金及现金等价物增加,1285.391,731.104,498.48,-171.063,-388.285
会计年初之现金及现金等价物,984.832,254.634,254.634,425.717,814.113
会计年终之现金及现金等价物,2270.519,984.832,753.023,254.634,425.717
外汇兑换率变动之影响,0.296,-0.906,-0.091,-0.02,-0.111
购置固定资产款项,-1809.877,-2521.964,-1085.889,-1945.344,-1295.794
币种,人民币,人民币,人民币,人民币,人民币
