报告期,2018-02-28,2017-08-31,2017-02-28,2016-08-31,2016-02-29,2015-08-31,2014-08-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,26.443,515.806,59.981,420.143,-15.286,168.304,445.395
投资活动之现金流入净额,-908.612,-1076.427,-26.01,-42.068,21.396,-303.66,-123.807
融资活动之现金流入净额,523.511,913.367,1116.237,-227.474,-33.136,30.255,-266.475
现金及现金等价物增加,-358.658,352.746,1150.208,150.601,-27.026,-105.101,55.113
会计年初之现金及现金等价物,642.506,304.986,304.986,154.339,154.339,259.44,204.327
会计年终之现金及现金等价物,261.118,642.506,1455.281,304.986,127.313,154.339,259.44
外汇兑换率变动之影响,-22.73,-15.226,0.087,0.046,--,--,--
购置固定资产款项,-47.931,-87.941,-75.712,-162.509,-98.742,-176.652,-175.737
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
