报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-06-30.1,2014-12-31,2014-06-30
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,951.322,-311.168,-450.498,12.331,71.007,78.19,6.25,41.766
投资活动之现金流入净额,-1153.652,-633.093,-538.774,144.967,378.866,377.014,-2.214,-12.749
融资活动之现金流入净额,1149.551,1692.135,690.133,196.114,117.601,115.183,-1.123,-5.616
现金及现金等价物增加,947.221,747.874,-299.139,353.412,567.474,570.387,2.913,23.401
会计年初之现金及现金等价物,1155.475,442.614,442.614,90.238,93.151,90.238,90.238,66.837
会计年终之现金及现金等价物,2116.542,1155.475,142.846,442.614,660.625,660.625,93.151,90.238
外汇兑换率变动之影响,13.846,-35.013,-0.629,-1.036,--,--,--,--
购置固定资产款项,-21.744,-146.712,-5.476,-59.891,-26.702,-53.196,-2.943,-13.3
币种,港币,港币,港币,港币,港币,港币,港币,港币
