报告期,2017-12-31,2016-12-31
报表类型,年报,年报
营业额,9.956894,7.127991
除税前盈利/(亏损),2.048001,2.272808
税项,-0.0405,-0.297442
除税后盈利/(亏损),2.007501,1.975366
少数股东权益,,
股东应占盈利/(亏损),2.007501,1.975366
股息,2.202996,0.408385
除税及股息后盈利/(亏损),-0.195495,1.566981
基本每股盈利(仙),,
摊薄每股盈利(仙),--,--
每股股息(仙),--,--
销售成本,-2.912714,-1.921943
折旧,-0.263611,-0.14422
销售及分销费用,--,--
一般及行政费用,--,--
利息费用/融资成本,--,--
毛利,7.04418,5.206048
经营盈利,2.048001,2.272808
应占联营公司盈利,--,--
币种,新加坡元,新加坡元
