报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-30.908,751.98,-90.581,793.857,44.869,861.648,444.077
投资活动之现金流入净额,-444.331,-732.657,288.526,-410.876,88.61,-256.077,-333.346
融资活动之现金流入净额,-104.147,941.839,963.727,-98.219,-111.192,-387.273,52.49
现金及现金等价物增加,-579.386,961.162,1161.672,284.762,22.287,218.298,163.221
会计年初之现金及现金等价物,1801.405,786.691,786.691,501.322,501.322,283.087,119.866
会计年终之现金及现金等价物,1197.904,1801.405,1961.101,786.691,523.999,501.322,283.087
外汇兑换率变动之影响,-24.115,53.552,12.738,0.607,0.39,-0.063,--
购置固定资产款项,-28.4,-131.693,-54.788,-149.588,-89.953,-150.794,-148.203
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
