报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,11.065458,15.718465
投资活动之现金流入净额,-1.399051,-23.347172
融资活动之现金流入净额,5.550199,12.87541
现金及现金等价物增加,15.216606,5.246703
会计年初之现金及现金等价物,5.776446,0.529743
会计年终之现金及现金等价物,20.993052,5.776446
外汇兑换率变动之影响,--,--
购置固定资产款项,-1.439772,-23.402239
币种,港币,港币
