报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,29.118,1.8,10.362
投资活动之现金流入净额,118.665,-39.683,-11.387
融资活动之现金流入净额,-128.015,45.958,0.936
现金及现金等价物增加,19.768,8.075,-0.089
会计年初之现金及现金等价物,8.097,0.022,0.111
会计年终之现金及现金等价物,27.865,8.097,0.022
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-5.265,-2.498,-0.712
币种,港币,港币,港币
