报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,34.203,-0.046,2.407
投资活动之现金流入净额,-0.281,9.641,0.415
融资活动之现金流入净额,-7.104,-11.215,-6.739
现金及现金等价物增加,26.818,-1.62,-3.917
会计年初之现金及现金等价物,15.506,17.509,22.299
会计年终之现金及现金等价物,42.962,15.506,17.509
外汇兑换率变动之影响,0.638,-0.383,-0.873
购置固定资产款项,-1.49,-0.957,-0.832
币种,港币,港币,港币
