报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-1104.165,-289.388,-14.234,-1440.112,-647.23,-1473.877,-587.772,-1967.72
投资活动之现金流入净额,2097.647,-1595.787,-673.187,247.632,510.342,162.302,68.375,-90.344
融资活动之现金流入净额,88.462,1992.005,843.972,1225.457,1518.54,831.972,790.493,1796.427
现金及现金等价物增加,1081.944,106.83,156.551,32.977,1381.652,-479.603,271.096,-261.637
会计年初之现金及现金等价物,273.262,243.47,243.47,262.34,262.34,738.758,740.547,998.131
会计年终之现金及现金等价物,1404.976,273.262,378.172,243.47,1640.509,262.34,1015.249,738.758
外汇兑换率变动之影响,49.77,-77.038,-21.849,-51.847,-3.483,3.185,3.606,2.264
购置固定资产款项,-1.422,-10.552,-30.278,-116.842,-1.415,-10.031,-4.567,-4.428
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
