报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,4.706,0.049,-12.786,8.943,7.015,-3.687,7.402
投资活动之现金流入净额,-2.863,-32.939,-24.796,10.573,-0.396,0.209,-4.478
融资活动之现金流入净额,-5.332,45.266,53.394,-10.654,-1.924,0.477,-0.894
现金及现金等价物增加,-3.489,12.376,15.812,8.862,4.695,-3.001,2.03
会计年初之现金及现金等价物,21.656,9.28,9.28,0.418,0.418,3.419,1.389
会计年终之现金及现金等价物,18.167,21.656,25.092,9.28,5.113,0.418,3.419
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-4.526,-28.021,-19.878,-2.636,-2.022,-0.51,-4.625
币种,港币,港币,港币,港币,港币,港币,港币
