报告期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30
报表类型,三季报,中报,年报,三季报,中报,年报
营业额,6.203831,4.882235,8.632027,5.879415,4.15791,7.997834
除税前盈利/(亏损),-2.392193,-1.782163,1.634786,1.181514,1.111501,1.495224
税项,-0.179293,-0.084349,-0.28419,-0.186796,-0.140302,-0.202896
除税后盈利/(亏损),-2.571486,-1.866512,1.350596,0.994718,0.971198,1.292328
少数股东权益,,,,,,
股东应占盈利/(亏损),-2.571486,-1.866512,1.350596,0.994718,0.971198,1.292328
股息,,,,,,
除税及股息后盈利/(亏损),-2.571486,-1.866512,1.350596,0.994718,0.971198,1.292328
基本每股盈利(仙),-0.390000,-0.310000,,0.170000,0.160000,
摊薄每股盈利(仙),-0.390000,-0.310000,--,0.170000,0.160000,--
每股股息(仙),--,--,--,--,--,--
销售成本,-4.115992,-3.115439,-5.457763,-3.716625,-2.419313,-5.210411
折旧,-0.434508,-0.288273,-0.577852,-0.4332,-0.288684,-0.563236
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-1.640583,-1.01016,-1.246788,-0.915877,-0.590542,-1.161762
利息费用/融资成本,-0.05079,-0.034209,-0.060089,-0.044134,-0.029783,-0.097937
毛利,2.087839,1.766796,3.174264,2.16279,1.738597,2.787423
经营盈利,-2.392193,-1.782163,1.634786,1.181514,1.111501,1.495224
应占联营公司盈利,--,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
