报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
现金及短期资金,25079.115,23548.717,21172.453
银行同业及其他金融机构之存款,24571.875,26573.765,19427.723
贸易票据,--,--,--
香港特区政府负债证明书,,,
客户贷款及其他账项,104099.125,88206.942,55518.299
持至到期证券 债务证券 股票,6729.095,4600.543,1852.107
联营公司权益,8.132,6.594,5.503
合资公司权益及其他权益,--,--,--
无形资产,,,
固定资产及投资物业,1428.269,733.504,611.483
其他资产,75188.334,61640.549,53981.67
总资产,245056.357,211930.739,165100.107
香港特区政府纸币流通额,,,
银行及其他金融机构存款及结余,35777.4,39934.294,37049.549
客户存款,171165.321,141020.627,110541.618
已发行之债务证券,10134.895,5903.045,
其他负债,13543.105,12386.719,6413.264
总负债,231712.713,199836.023,154350.245
借入资本,--,--,--
股本,7525.991,7525.991,7136.863
储备,5789.202,4543.263,3590.56
股东权益/(亏损),13315.193,12069.254,10727.423
少数股东权益 - (借)/贷,28.451,25.462,22.439
资本来源合计,13343.644,12094.716,10749.862
负债及资本来源合计,245056.357,211930.739,165100.107
股份数目 (千),--,--,--
持有的存款证,--,--,--
持作买卖用途的证券,,,
已发行的存款证,--,--,--
币种,人民币,人民币,人民币
