报告期,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2007-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-16.89612,-4.515343,22.608029,19.839658,29.08271,22.508593
投资活动之现金流入净额,-31.804734,-19.97418,0.996113,-4.144321,-19.468399,-6.16371
融资活动之现金流入净额,25.093533,12.164694,34.724831,-13.904805,-27.794738,10.982785
现金及现金等价物增加,-23.607321,-12.324829,58.328973,1.790532,-18.180427,27.327668
会计年初之现金及现金等价物,63.056902,63.056902,4.655224,4.655224,22.366078,-4.964701
会计年终之现金及现金等价物,39.497771,50.709416,63.056902,6.445756,4.655224,22.366078
外汇兑换率变动之影响,0.04819,-0.022657,0.072705,--,0.469573,0.003111
购置固定资产款项,-3.254037,--,-2.362337,--,-6.102691,-5.759214
币种,港币,港币,港币,港币,港币,港币
