报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,18.525,94.324,24.404,154.192,46.044,117.259,30.32,45.107
投资活动之现金流入净额,-17.745,-22.297,-11.184,-39.497,-11.256,-131.809,-66.028,-121.478
融资活动之现金流入净额,-19.422,-69.424,-34.252,-124.669,-44.95,-21.611,-36.221,-29.709
现金及现金等价物增加,-18.642,2.603,-21.032,-9.974,-10.162,-36.161,-71.929,-106.08
会计年初之现金及现金等价物,119.023,117.344,117.344,136.255,136.255,172.367,172.367,278.559
会计年终之现金及现金等价物,100.842,119.023,95.037,117.344,125.714,136.255,100.546,172.367
外汇兑换率变动之影响,0.461,-0.924,-1.275,-8.937,-0.379,0.049,0.108,-0.112
购置固定资产款项,-6.992,-20.721,-12.412,-22.517,-7.014,-111.771,-51.188,-14.018
币种,港币,港币,港币,港币,港币,港币,港币,港币
