报告期,2018-01-31,2017-07-31,2017-01-31,2016-07-31,2016-01-31,2015-07-31,2014-07-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-1.788319,-1.325219,-0.965541,0.003446,0.487424,2.128389,2.165599
投资活动之现金流入净额,-0.072268,-0.451643,-0.123301,-0.72713,-0.342654,1.192442,-0.645756
融资活动之现金流入净额,0,-0.32304,-0.301152,7.980066,0.408145,-2.956834,-1.136782
现金及现金等价物增加,-1.860587,-2.099902,-1.389994,7.256382,0.552915,0.363997,0.383061
会计年初之现金及现金等价物,6.088213,8.287411,8.287411,1.031029,1.031029,0.667032,0.283971
会计年终之现金及现金等价物,4.230218,6.088213,6.950722,8.287411,1.583944,1.031029,0.667032
外汇兑换率变动之影响,0.002592,-0.099296,0.053305,--,--,--,--
购置固定资产款项,-0.072484,-0.524855,-0.17446,-0.658391,-0.189099,-0.431367,-0.125085
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
