报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,12.095,12.085
投资活动之现金流入净额,5.582,-1.142
融资活动之现金流入净额,-19.971,-0.877
现金及现金等价物增加,-2.294,10.066
会计年初之现金及现金等价物,7.694,-2.372
会计年终之现金及现金等价物,5.4,7.694
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.051,--
币种,港币,港币
