报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,8.13,8.412
投资活动之现金流入净额,-1.01,-0.31
融资活动之现金流入净额,-14.402,-3.383
现金及现金等价物增加,-7.282,4.719
会计年初之现金及现金等价物,19.564,14.885
会计年终之现金及现金等价物,12.218,19.564
外汇兑换率变动之影响,-0.064,-0.04
购置固定资产款项,-1.002,-0.148
币种,港币,港币
