报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,0.239,-0.928,1.44,0.9,-0.761,1.189
投资活动之现金流入净额,-1.898,-1.093,-1.658,-0.941,-3.628,-2.892
融资活动之现金流入净额,-3.978,-2.402,8.573,0.626,6.262,0.871
现金及现金等价物增加,-5.637,-4.423,8.355,0.585,1.873,-0.832
会计年初之现金及现金等价物,11.17,11.17,2.806,2.806,0.946,1.807
会计年终之现金及现金等价物,5.573,6.74,11.17,3.403,2.806,0.946
外汇兑换率变动之影响,0.04,-0.007,0.009,0.012,-0.013,-0.029
购置固定资产款项,-1.901,-1.095,-1.661,-0.943,-3.677,-2.844
币种,美元,美元,美元,美元,美元,美元
