报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,5.659,4.677,-10.564,-3.451526,11.823658,-2.376585,6.670239
投资活动之现金流入净额,-0.902,-0.823,-1.343,-0.781544,-2.485245,-0.487338,-13.858613
融资活动之现金流入净额,-3.568,-1.563,27.527,0.674658,0.434285,-0.575236,9.689132
现金及现金等价物增加,1.189,2.291,15.62,-3.558412,9.772698,-3.439159,2.500758
会计年初之现金及现金等价物,32.311,33.329,15.887,15.8871,5.365722,5.365722,2.573986
会计年终之现金及现金等价物,30.934,34.45,33.329,12.10504,15.8871,2.079246,5.365722
外汇兑换率变动之影响,-2.566,-1.17,1.822,-0.223648,0.74868,0.152683,0.290978
购置固定资产款项,-1.297,-1.104,-1.797,-1.264441,-4.931907,-1.608406,-13.236028
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
