报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,17.057,9.339,16.013,6.556,15.847,22.807
投资活动之现金流入净额,-44.743,5.813,-4.182,1.195,-2.009,-8.503
融资活动之现金流入净额,48.171,-7.759,-13.052,-7.951,-12.333,-16.413
现金及现金等价物增加,20.485,7.393,-1.221,-0.2,1.505,-2.109
会计年初之现金及现金等价物,18.105,18.105,19.256,19.256,17.747,18.55
会计年终之现金及现金等价物,38.081,25.178,18.105,18.963,19.256,17.747
外汇兑换率变动之影响,-0.509,-0.32,0.07,-0.093,0.004,1.306
购置固定资产款项,-0.769,-0.461,-1.039,-0.445,-0.923,-0.579
币种,美元,美元,美元,美元,美元,美元
