报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,2.819,7.549,13.037,6.811,14.67,14.462
投资活动之现金流入净额,-2.596,-1.612,-1.417,-1.266,-0.65,-0.35
融资活动之现金流入净额,56.899,-5.081,-13.125,-9.392,-16.59,-13.97
现金及现金等价物增加,57.122,0.856,-1.505,-3.847,-2.57,0.142
会计年初之现金及现金等价物,0.23,0.23,1.735,1.735,4.305,4.163
会计年终之现金及现金等价物,57.352,1.086,0.23,-2.112,1.735,4.305
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-2.405,-1.566,-0.582,-0.206,-0.401,-0.405
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
