报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,19.384,8.923
投资活动之现金流入净额,0.996,-0.027
融资活动之现金流入净额,-4.5,-0.669
现金及现金等价物增加,15.88,8.227
会计年初之现金及现金等价物,15.938,7.711
会计年终之现金及现金等价物,31.755,15.938
外汇兑换率变动之影响,-0.063,--
购置固定资产款项,-0.055,-0.027
币种,港币,港币
