报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,-37.019,-71.906,-7.391,-52.887,-306.071,-206.196,33.796,-46.098
投资活动之现金流入净额,-53.598,-34.917,-113.851,-18.058,24.386,-105.729,-111.994,-0.01
融资活动之现金流入净额,137.125,171.536,174.019,56.545,163.408,187.643,99.734,28.811
现金及现金等价物增加,46.508,64.713,52.777,-14.4,-118.277,-124.282,21.536,-17.297
会计年初之现金及现金等价物,78.497,78.497,26.005,26.005,145.879,145.879,125.439,125.439
会计年终之现金及现金等价物,131.523,147.569,78.497,10.31,26.005,21.56,145.879,107.071
外汇兑换率变动之影响,6.518,4.359,-0.285,-1.295,-1.597,-0.037,-1.096,-1.071
购置固定资产款项,-10.602,-55.555,-3.549,--,-18.268,--,-2.675,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
