报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,27.497,30.184,64.821,-25.975,27.286,59.436
投资活动之现金流入净额,-5.382,-0.148,-0.134,-5.262,0.621,0.019
融资活动之现金流入净额,0,40.032,-9.058,4.696,-4.624,-25.378
现金及现金等价物增加,22.115,70.068,55.629,-26.541,23.283,34.077
会计年初之现金及现金等价物,106.792,36.724,36.724,63.265,39.982,5.905
会计年终之现金及现金等价物,128.907,106.792,92.353,36.724,63.265,39.982
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.412,-0.148,-0.253,-0.291,-0.179,-0.076
币种,港币,港币,港币,港币,港币,港币
