报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31
报表类型,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,8.35,1.293,5.262,19.541,8.866,15.157
投资活动之现金流入净额,-83.308,-14.011,10.625,-8.728,-11.407,-104.962
融资活动之现金流入净额,59.854,37.242,-3.775,10.019,16.551,97.969
现金及现金等价物增加,-15.104,24.524,12.112,20.832,14.01,8.164
会计年初之现金及现金等价物,81.806,53.813,53.813,31.282,31.282,25.492
会计年终之现金及现金等价物,67.205,81.806,67.344,53.813,45.964,31.282
外汇兑换率变动之影响,0.503,3.469,1.419,1.699,0.672,-2.374
购置固定资产款项,-82.651,-32.1,-0.606,-18.139,-17.146,-103.117
币种,港币,港币,港币,港币,港币,港币
