报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-37.309,-12.392,0.126,-8.898,11.122,0.333,-0.89
投资活动之现金流入净额,5.99,6.303,-1.42,17.179,-15.634,-5.447,-22.341
融资活动之现金流入净额,55.764,-8.536,38.301,0.15,5.776,-0.248,13.974
现金及现金等价物增加,24.445,-14.625,37.007,8.431,1.264,-5.362,-9.257
会计年初之现金及现金等价物,54.069,54.069,17.062,17.062,15.798,15.798,25.055
会计年终之现金及现金等价物,78.514,39.444,54.069,25.493,17.062,10.436,15.798
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-1.534,-1.247,-11.292,-0.746,-12.724,-1.253,-22.034
币种,港币,港币,港币,港币,港币,港币,港币
