报告期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
报表类型,三季报,中报,一季报,年报,年报
营业额,88.667,64.651,23.233,91.713,72.616
除税前盈利/(亏损),15.496,6.726,2.14,27.738,16.733
税项,-5.367,-3.108,-1.1,-7.805,-5.748
除税后盈利/(亏损),10.129,3.618,1.04,19.933,10.985
少数股东权益,,,,,
股东应占盈利/(亏损),10.129,3.618,1.04,19.933,10.985
股息,,,,,
除税及股息后盈利/(亏损),10.129,3.618,1.04,19.933,10.985
基本每股盈利(仙),6.70,2.40,0.69,13.30,7.30
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,54.078,43.776,14.214,51.099,44.195
折旧,0.965,0.655,0.315,1.086,1.08
销售及分销费用,8.81,6.985,4.055,8.817,9.064
一般及行政费用,7.718,5.246,2.843,7.062,6.182
利息费用/融资成本,--,--,--,--,0.353
毛利,34.589,20.875,9.019,40.614,28.421
经营盈利,15.496,6.726,2.14,27.738,16.733
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
