报告期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30
报表类型,三季报,中报,年报,三季报,中报,年报
营业额,34.474,23.901,75.37,44.918,31.443,44.655
除税前盈利/(亏损),-6.779,-6.567,12.451,9.493,8.089,10.136
税项,-0.386,-0.431,-2.984,-1.491,-1.335,-1.605
除税后盈利/(亏损),-7.165,-6.998,9.467,8.002,6.754,8.531
少数股东权益,,,,,,
股东应占盈利/(亏损),-7.165,-6.998,9.467,8.002,6.754,8.531
股息,,,,,,
除税及股息后盈利/(亏损),-7.165,-6.998,9.467,8.002,6.754,8.531
基本每股盈利(仙),-0.860000,-0.900000,,1.190000,1.000000,
摊薄每股盈利(仙),-0.860000,-0.900000,--,1.190000,1.000000,--
每股股息(仙),--,--,--,--,--,--
销售成本,-26.157,-17.675,-52.625,-32.409,-21.672,-31.428
折旧,--,-0.171,-0.353,--,-0.149,-0.292
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-15.335,-13.037,-10.831,-3.565,-2.232,-3.192
利息费用/融资成本,-0.023,-0.018,-0.033,-0.02,-0.013,-0.045
毛利,8.317,6.226,22.745,12.509,9.771,13.227
经营盈利,-6.756,-6.549,12.484,9.513,8.102,10.181
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
