报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,1080.149,435.881,935.383,390.05,802.796,597.75,488.919
除税前盈利/(亏损),-108.914,-55.341,90.982,-2.262,49.587,5.933,48.828
税项,6.234,4.093,-36.593,-9.897,-20.471,-0.265,-8.974
除税后盈利/(亏损),-102.68,-51.248,54.389,-12.159,29.116,5.668,39.854
少数股东权益,-40.514,-11.808,-4.535,-1.357,0.134,-2.651,3.334
股东应占盈利/(亏损),-62.166,-39.44,58.924,-10.802,28.982,8.319,36.52
股息,,,,,440.109,,
除税及股息后盈利/(亏损),-62.166,-39.44,58.924,-10.802,-411.127,8.319,36.52
基本每股盈利(仙),-4.000000,-2.000000,4.000000,,,,
摊薄每股盈利(仙),-4.000000,-2.000000,4.000000,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-678.995,-300.236,-581.252,-278.546,-522.753,-408.808,-323.922
折旧,-84.795,-40.572,-80.047,-40.598,-67.917,-50.765,-46.789
销售及分销费用,-175.324,-70.068,-76.35,-30.272,-67.613,-42.507,-27.967
一般及行政费用,-292.818,-105.589,-200.776,-76.944,-151.628,-116.882,-70.894
利息费用/融资成本,-58.875,-26.415,-20.795,-10.157,-22.477,-26.21,-22.908
毛利,401.154,135.645,354.131,111.504,280.043,188.942,164.997
经营盈利,-57.672,-32.432,90.375,8.111,73.285,33.223,71.391
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
