报告期,2006-06-30,2005-12-31,2005-12-31.1,2005-06-30,2004-12-31,2004-12-31.1,2004-06-30,2003-12-31
报表类型,中报,年报,年报,中报,年报,年报,中报,年报
经营业务所得之现金流入净额,-12.004,-35.107,-35.107,-33.977,22.842,22.842,2.695,-41.384
投资活动之现金流入净额,-2.022,-3.879,-3.879,-1.205,-7.484,-7.484,-2.555,-10.353
融资活动之现金流入净额,4.181,5.923,5.923,-6.209,-31.751,-31.751,-26.834,30.117
现金及现金等价物增加,-9.845,-33.063,-33.063,-41.391,-16.393,-16.393,-26.694,-21.62
会计年初之现金及现金等价物,24.598,58.178,58.178,58.178,74.792,74.792,74.792,96.176
会计年终之现金及现金等价物,14.753,24.598,24.598,16.787,58.178,58.178,47.858,74.792
外汇兑换率变动之影响,--,-0.517,-0.517,--,-0.221,-0.221,-0.24,0.236
购置固定资产款项,-0.454,-2.559,-2.559,--,-5.303,-5.303,--,-2.464
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
