报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,3.471433,0.672053,1.385276,13.545382,5.793028
投资活动之现金流入净额,-1.330102,1.334542,-0.462311,-1.114108,-1.443937
融资活动之现金流入净额,-0.221759,-10.068442,-5.790901,-7.850814,-2.885562
现金及现金等价物增加,1.919572,-8.061847,-4.867936,4.58046,1.463529
会计年初之现金及现金等价物,8.115462,14.810882,14.810882,9.414655,7.225088
会计年终之现金及现金等价物,9.959022,8.115462,10.218639,14.810882,9.414655
外汇兑换率变动之影响,-0.076012,1.366427,0.275693,0.815767,0.726038
购置固定资产款项,-1.348831,-1.601646,-0.485576,-1.475419,-1.494704
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
