报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-62.171,84.38,-20.083,-16.356,47.935,66.43
投资活动之现金流入净额,-10.056,-13.042,-0.064,70.079,-19.577,-109.058
融资活动之现金流入净额,-22.574,79.449,-1.814,-50.175,-9.343,-6.303
现金及现金等价物增加,-94.801,150.787,-21.961,3.548,19.015,-48.931
会计年初之现金及现金等价物,258.824,108.037,108.037,104.489,85.474,134.405
会计年终之现金及现金等价物,164.023,258.824,86.076,108.037,104.489,85.474
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.327,-0.289,-0.165,-1.373,-0.639,-1.815
币种,港币,港币,港币,港币,港币,港币
