报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,35.265,-58.372,-692.293,-277.236,-675.345,-80.868,-27.57
投资活动之现金流入净额,-3103.375,-3124.947,-1004.329,-1121.829,3.291,-467.753,-1.793
融资活动之现金流入净额,-0.031,-5.256,5091.352,879.878,307.121,1803.757,60.482
现金及现金等价物增加,-3068.141,-3188.575,3394.73,-519.187,-364.933,1255.136,31.119
会计年初之现金及现金等价物,4508.522,4508.522,989.874,989.874,1288.345,38.532,7.773
会计年终之现金及现金等价物,1396.632,1284.56,4508.522,498.522,989.874,1288.345,38.532
外汇兑换率变动之影响,-43.749,-35.387,123.918,27.835,66.462,-5.323,-0.36
购置固定资产款项,--,-24.163,-60.238,-20.804,-49.787,-17.715,-1.742
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
