报告期,2010-09-30,2010-03-31,2009-09-30,2009-03-31,2008-09-30,2007-09-30,2007-03-31,2006-09-30
报表类型,中报,年报,中报,年报,中报,中报,年报,中报
营业额,73.475,217.169,79.813,116.926,74.698,57.748,134.338,70.959
除税前盈利/(亏损),-17.682,-733.974,-26.713,-129.533,-33.585,0.963,4.952,7.396
税项,,-0.443,,-0.496,-0.584,-0.003,-0.238,-0.003
除税后盈利/(亏损),-17.682,-734.417,-26.713,-130.029,-34.169,0.96,4.714,7.393
少数股东权益,,,,,,,,
股东应占盈利/(亏损),-17.682,-734.417,-26.713,-130.029,-34.169,0.96,4.714,7.393
股息,,,,,,,3.17,3.17
除税及股息后盈利/(亏损),-17.682,-734.417,-26.713,-130.029,-34.169,0.96,1.544,4.223
基本每股盈利(仙),-0.580000,-28.590000,-1.090000,-7.480000,-2.400000,0.280000,1.490000,2.330000
摊薄每股盈利(仙),-0.580000,-28.590000,-1.090000,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,1.000000,1.000000
销售成本,-62.089,-153.058,-62.487,-96.587,-58.324,-46.227,-109.878,-54.651
折旧,-1.182,-2.337,-1.181,-2.259,-1.032,-0.807,-1.605,-0.71
销售及分销费用,-3.145,-45.532,-17.197,-26.817,-10.36,-3.067,-5.75,-2.763
一般及行政费用,-17.741,-32.935,-17.379,-34.848,-17.96,-7.206,-14.051,-6.253
利息费用/融资成本,-9.085,-18.778,-9.886,-35.185,-22.047,-0.787,-1.126,-0.593
毛利,11.386,64.111,17.326,20.339,16.374,11.521,24.46,16.308
经营盈利,-17.682,-733.974,-26.713,-129.533,-33.585,0.963,4.952,7.396
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
