报告期,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-1896,-122,-519,1366,-1768,2665,2460,3115
投资活动之现金流入净额,-4124,-9035,-6605,-13874,-5231,-16531,-6510,-16741
融资活动之现金流入净额,-599,8878,7998,15521,12403,17041,11950,16201
现金及现金等价物增加,-6619,-279,874,3013,5404,3175,7900,2575
会计年初之现金及现金等价物,30899,30610,30610,27964,27964,24237,24237,21303
会计年终之现金及现金等价物,24140,30899,31768,30961,33169,27964,32331,24237
外汇兑换率变动之影响,-140,568,284,-16,-199,552,194,359
购置固定资产款项,-3873,-6851,-3762,-14378,-8368,-14450,-6408,-19833
币种,港币,港币,港币,港币,港币,港币,港币,港币
