报告期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
报表类型,三季报,中报,一季报,年报,三季报,中报,一季报,年报
营业额,27.617,20.344,8.247,41.657,32.418,21.556,11.173,58.345
除税前盈利/(亏损),-8.923,-5.079,-2.065,-13.993,-9.093,-5.456,-2.62,-13.88
税项,,,,,,,,0.141
除税后盈利/(亏损),-8.923,-5.079,-2.065,-13.993,-9.093,-5.456,-2.62,-13.739
少数股东权益,,,,,,,,
股东应占盈利/(亏损),-8.923,-5.079,-2.065,-13.993,-9.093,-5.456,-2.62,-13.739
股息,,,,,,,,
除税及股息后盈利/(亏损),-8.923,-5.079,-2.065,-13.993,-9.093,-5.456,-2.62,-13.739
基本每股盈利(仙),-0.990000,-0.590000,-0.260000,-1.700000,-1.140000,-0.680000,-0.330000,-1.700000
摊薄每股盈利(仙),-0.990000,-0.590000,-0.260000,-1.700000,-1.140000,-0.680000,-0.330000,-1.700000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-20.819,-14.514,-4.96,-30.639,-23.637,-14.728,-7.768,-47.007
折旧,-0.362,-0.226,-0.117,-0.503,-0.369,-0.233,-0.114,-0.428
销售及分销费用,-0.809,-0.617,-0.282,-1.596,-1.111,-0.727,-0.308,-1.826
一般及行政费用,-14.913,-10.131,-4.943,-23.13,-16.437,-11.222,-5.561,-23.494
利息费用/融资成本,-0.501,-0.492,-0.292,-1.203,-0.916,-0.623,-0.302,-0.72
毛利,6.798,5.83,3.287,11.018,8.781,6.828,3.405,11.338
经营盈利,-8.923,-5.079,-2.065,-13.993,-9.093,-5.456,-2.62,-13.88
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
