报告期,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-10476.85,-5513.68,-310.2,-1442.8,-1918.02,-4004.43
投资活动之现金流入净额,-26750.38,12627.02,-15157.09,-3061.05,-9556.78,852.66
融资活动之现金流入净额,33434.48,-466.93,25507.78,157.15,3805.22,18505.8
现金及现金等价物增加,-3792.75,6646.41,10040.49,-4346.7,-7669.59,15354.03
会计年初之现金及现金等价物,22151.15,19408.84,9376.58,9376.58,16804.33,1331.3
会计年终之现金及现金等价物,19451.83,26276.85,19408.84,4963.92,9376.58,16804.33
外汇兑换率变动之影响,1152.23,221.59,-8.23,-65.95,241.84,119
购置固定资产款项,2522.54,-847.16,-737.68,-210.07,-352.81,-356.08
币种,港币,人民币,人民币,人民币,人民币,人民币
