报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,47.071,35.571,164.039,124.153,7.445,3.033
投资活动之现金流入净额,-539.3,-111.585,-11.252,-10.88,80.514,-1036.288
融资活动之现金流入净额,630.606,411.631,-36.824,-21.848,-80,1038.4
现金及现金等价物增加,138.377,335.617,115.963,91.425,7.959,5.145
会计年初之现金及现金等价物,129.332,129.332,13.104,13.104,5.145,0
会计年终之现金及现金等价物,260.787,456.556,129.332,104.529,13.104,5.145
外汇兑换率变动之影响,-6.922,-8.393,0.265,--,--,--
购置固定资产款项,-1.452,-0.775,-11.252,-10.88,-1.275,-0.884
币种,人民币,人民币,人民币,人民币,人民币,人民币
