报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,-101.771,61.161,-17.758,54.054
投资活动之现金流入净额,-35.062,-31.594,-23.104,-17.516
融资活动之现金流入净额,267.701,-1.426,16.062,47.453
现金及现金等价物增加,130.868,28.141,-24.8,83.991
会计年初之现金及现金等价物,173.365,156.377,191.391,107.83
会计年终之现金及现金等价物,311.672,173.365,156.377,191.391
外汇兑换率变动之影响,7.439,-11.153,-10.214,-0.43
购置固定资产款项,-35.609,-32.023,-23.764,-18.894
币种,港币,港币,港币,港币
