报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,8.674,-3.828,-7.518,-0.382,-240.279,-41.777,17.751,22.061
投资活动之现金流入净额,-9.48,-7.596,-129.52,0.039,-0.379,-0.518,-1.032,0.184
融资活动之现金流入净额,94.324,93.188,-0.061,-0.03,320.563,320.882,-5.772,-2.993
现金及现金等价物增加,93.518,81.764,-137.099,-0.373,79.905,278.587,10.947,19.252
会计年初之现金及现金等价物,70.369,70.369,208.33,208.33,131.431,131.431,121.163,121.163
会计年终之现金及现金等价物,165.189,153.077,70.369,207.944,208.33,409.012,131.431,140.24
外汇兑换率变动之影响,1.302,0.944,-0.862,-0.013,-3.006,-1.006,-0.679,-0.175
购置固定资产款项,-14.599,-13.768,-0.239,-0.106,-0.64,-0.532,-1.302,-0.029
币种,港币,港币,港币,港币,港币,港币,港币,港币
