报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-11.96,-10.808,0.619,66.432,36.294,3.544
投资活动之现金流入净额,-7.444,-10.931,-6.784,-13.596,-8.121,5.658
融资活动之现金流入净额,92.819,20.47,4.104,-33.131,-13.175,-7.743
现金及现金等价物增加,73.415,-1.269,-2.061,19.705,14.998,1.459
会计年初之现金及现金等价物,38.94,40.209,40.209,20.504,5.506,4.047
会计年终之现金及现金等价物,112.355,38.94,38.148,40.209,20.504,5.506
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-7.544,-10.934,-5.804,-0.928,--,-0.011
币种,港币,港币,港币,港币,港币,港币
