报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-78.053,-67.246,-14.661,-40.647,-7.497,-62.536,-12.09
投资活动之现金流入净额,-10.825,0.198,334.159,335.559,45.519,51.307,-147.498
融资活动之现金流入净额,352.516,302.516,-272.915,-273.32,-8.3,11.227,158.3
现金及现金等价物增加,263.638,235.468,46.583,21.592,29.722,-0.002,-1.288
会计年初之现金及现金等价物,108.065,108.065,61.482,61.482,31.76,31.762,33.05
会计年终之现金及现金等价物,371.703,343.325,108.065,83.074,61.482,31.76,31.762
外汇兑换率变动之影响,--,-0.208,--,--,--,--,--
购置固定资产款项,-6.047,-0.812,-0.863,-0.166,-0.653,-0.941,-0.366
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
