报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-06-30.1,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,12.408,-334.091,182.212,-139.433,266.781,-39.473,75.633,0
投资活动之现金流入净额,-314.326,-135.12,-102.16,-40.711,-64.946,27.034,-29.686,0
融资活动之现金流入净额,351.202,233.709,100.116,170.974,-45.675,-14.308,-0.075,0
现金及现金等价物增加,49.284,-235.502,180.168,-9.17,156.16,-26.747,45.872,0
会计年初之现金及现金等价物,464.889,464.889,286.605,286.605,130.445,203.063,130.445,0
会计年终之现金及现金等价物,507.622,228.84,464.889,277.435,286.605,176.468,176.468,0
外汇兑换率变动之影响,-6.551,-0.547,-1.884,--,--,0.152,0.151,--
购置固定资产款项,-312.533,-136.899,-106.629,-42.796,-95.473,-1.741,-59.102,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,港币
