报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,-2.665,1.74,1.547
投资活动之现金流入净额,-0.034,-2.707,-2.16
融资活动之现金流入净额,5.174,1.18,0.378
现金及现金等价物增加,2.475,0.213,-0.235
会计年初之现金及现金等价物,1.309,1.141,1.335
会计年终之现金及现金等价物,3.63,1.309,1.141
外汇兑换率变动之影响,-0.154,-0.045,0.041
购置固定资产款项,-0.906,-0.55,-0.391
币种,新加坡元,新加坡元,新加坡元
