报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,14.63,-6.146,55.945,-63.971,-16.962,-36.474,-17.221,-7.597
投资活动之现金流入净额,1.514,59.975,-163.927,31.051,58.373,-5.362,-6.358,1.061
融资活动之现金流入净额,9.561,191.597,197.392,-10.06,-11.77,17.684,4.288,-2.58
现金及现金等价物增加,25.705,245.426,89.41,-42.98,29.641,-24.152,-19.291,-9.116
会计年初之现金及现金等价物,344.237,98.811,98.811,141.791,141.791,165.943,165.943,175.059
会计年终之现金及现金等价物,369.942,344.237,188.221,98.811,171.432,141.791,146.652,165.943
外汇兑换率变动之影响,--,--,--,--,--,--,--,--
购置固定资产款项,--,-1.213,--,-1.782,--,-8.003,--,-1.662
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
