报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,-14.374,24.485
投资活动之现金流入净额,14.187,-8.711
融资活动之现金流入净额,15.82,-10.016
现金及现金等价物增加,15.633,5.758
会计年初之现金及现金等价物,7.355,1.597
会计年终之现金及现金等价物,22.988,7.355
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.951,-0.286
币种,港币,港币
